OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,City,State,ZipCode,Latitude,Longitude,Address,TotalGHGEmissions,GHGEmissionsIntensity,PropertyGFATotal_calc,BuildingAge,MeanGFAperFloor,ParkingGFARatio,Certified,CertifiedPreviousYear,NbYearsCertified,SteamUse(ratio),Electricity(ratio),NaturalGas(ratio),OtherFuelUse(ratio),MainEnergy,SteamUse(bins),Electricity(bins),NaturalGas(bins),OtherFuelUse(bins),EnergyProfile,ExtsurfVolRatio,SiteEnergyUseWN(kBtu)_log,TotalGHGEmissions_log
26379,2015,NonResidential,Hotel,GEORGETOWN  INN,2,GREATER DUWAMISH,1992,1.0,3.0,22452,0,22452.0,"('Hotel',)",Hotel,22452.0,Inutilisable,0.0,Inutilisable,0.0,[],78.0,60.3,61.5,118.2,122.0,1354243.0,1381137.0,0.0,172881.0,589893.0,7644.0,764350.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98108.0,47.5477336,-122.3207866,6100 CORSON AVE S,44.71,1.88,22452,23,5613.0,0.0,False,False,0,0.0,0.435588738505571,0.564411261494429,0.0,NaturalGas,(s),e,n,(o),(s)en(o),0.10894586896211993,14.138417630946831,3.800197190245889
102,2015,NonResidential,Hotel,MARRIOTT RESIDENCE INN,3,LAKE UNION,1990,1.0,7.0,282863,44766,238097.0,"('Hotel', ' Parking')",Hotel,235788.0,Parking,51537.0,Inutilisable,0.0,[],40.0,79.9,85.3,178.1,186.6,18829579.0,20123722.0,0.0,3117920.0,10638785.0,81908.0,8190794.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98109.0,47.6263594,-122.333131,800 FAIRVIEW AVE N,509.18,1.64,282863,25,29762.125,0.15826035925518714,False,False,0,0.0,0.5650038697094608,0.43499613029053913,0.0,Electricity,(s),e,n,(o),(s)en(o),0.04905019847329061,16.817409876146904,6.232801588614156
148,2015,SPS-District K-12,K-12 School,WEST WOODLAND PARK ELEMENTARY (SPS-DISTRICT),6,BALLARD,1991,1.0,2.0,55513,0,55513.0,"('K-12 School',)",K-12 School,57904.0,Inutilisable,0.0,Inutilisable,0.0,[],91.0,28.1,32.0,88.4,100.4,1613032.0,1832205.0,0.0,472733.0,1613032.0,0.0,0.0,0.0,True,,Compliant,Normal,SEATTLE,WA,98107.0,47.67031559,-122.3622592,5601 5TH AVE NW,11.24,0.08,55513,24,18504.333333333332,0.0,False,False,0,0.0,1.0,0.0,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.10347921531409894,14.421030717519242,2.419478844465545
352,2015,NonResidential,Large Office,ABRAHAM LINCOLN BUILDING,7,DOWNTOWN,1972,1.0,14.0,186768,23775,162993.0,"('Data Center', ' Office', ' Parking')",Office,182540.0,Parking,33671.0,Data Center,240.0,"[2016, 2014, 2012]",95.0,53.1,55.6,143.9,146.1,9700687.0,10171258.0,2148584.0,2213303.0,7552103.0,0.0,0.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98101.0,47.60668182,-122.33452606,1110 3RD AVE,218.49,1.0,186768,43,10866.2,0.1272969673605757,False,True,3,0.22148781833698994,0.7785121816630101,0.0,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.050661944479784754,16.135076457523358,5.386740246897934
35,2015,NonResidential,Hotel,HOTEL FIVE,7,DOWNTOWN,1978,1.0,5.0,68410,16200,52210.0,"('Hotel',)",Hotel,47994.0,Inutilisable,0.0,Inutilisable,0.0,[],60.0,90.5,90.5,194.1,194.1,4341800.0,4341706.0,0.0,667101.0,2276244.0,20656.0,2065556.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98121.0,47.61587049,-122.34197968,2200 5TH AVE,125.57,1.69,68410,37,8701.666666666666,0.2368074842859231,False,False,0,0.0,0.5242627481689622,0.4757372518310378,0.0,Electricity,(s),e,n,(o),(s)en(o),0.07449773124554375,15.283777916395518,4.8328633720008725
489,2015,NonResidential,Small- and Mid-Sized Office,200 WEST THOMAS BUILDING,7,MAGNOLIA / QUEEN ANNE,1974,1.0,5.0,88062,20826,67236.0,"('Office', ' Parking')",Office,67242.0,Parking,18906.0,Inutilisable,0.0,[],81.0,49.3,53.6,154.9,168.3,3317070.0,3603748.0,0.0,972137.0,3317070.0,0.0,0.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98119.0,47.62122551,-122.359728,200 W THOMAS ST,23.12,0.1,88062,41,11206.0,0.23649247121346323,False,False,0,0.0,1.0,0.0,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.07005432095011295,15.09748497295714,3.1406980438041767
180,2015,NonResidential,Other,UNION GOSPEL MISSION ASSN / HOPE PLACE,2,GREATER DUWAMISH,2009,1.0,5.0,89821,0,89821.0,"('Food Service', ' Office', ' Other - Lodging/Residential')",Other - Lodging/Residential,46483.0,Office,37938.0,Food Service,4579.0,[],,22.7,26.3,25.3,29.3,2017696.0,2337736.0,0.0,19015.0,64880.0,19528.0,1952816.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98118.0,47.53830025,-122.2840532,3802 S OTHELLO ST,104.17,1.16,89821,6,14970.166666666666,0.0,False,False,0,0.0,0.03215548824005202,0.967844511759948,0.0,NaturalGas,(s),(e),N,(o),(s)(e)N(o),0.06972942722111072,14.664693497615447,4.646024179996357
401,2015,NonResidential,Hotel,WASHINGTON ATHLETIC CLUB,7,DOWNTOWN,1930,1.0,21.0,305548,0,305548.0,"('Hotel',)",Hotel,310000.0,Inutilisable,0.0,Inutilisable,0.0,[],61.0,103.7,107.2,214.1,215.1,32135849.0,33231278.0,14770295.0,4260041.0,14535863.0,28297.0,2829691.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98101.0,47.60972214,-122.33361053,1325 6TH AVE,1391.7,4.35,305548,85,13888.545454545454,0.0,False,False,0,0.459620500457293,0.452325469913678,0.08805402962902895,0.0,Steam,s,e,(n),(o),se(n)(o),0.0440425552414803,17.319002098814835,7.2382813004258075
529,2015,NonResidential,Small- and Mid-Sized Office,BALLARD BUILDING,6,BALLARD,1925,1.0,6.0,94033,6200,87833.0,"('Multifamily Housing', ' Non-Refrigerated Warehouse', ' Office', ' Parking', ' Retail Store')",Office,53993.0,Retail Store,24744.0,Parking,4500.0,[],,56.7,62.6,132.0,137.8,4767348.0,5258135.0,0.0,853270.0,2911478.0,18559.0,1855870.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98107.0,47.66897964,-122.38531494,2208 NW MARKET ST,118.86,1.13,94033,90,12547.57142857143,0.0659342996607574,False,False,0,0.0,0.6107122869989772,0.3892877130010228,0.0,Electricity,(s),e,n,(o),(s)en(o),0.06625793142828913,15.47528695910402,4.777946329938515
229,2015,SPS-District K-12,K-12 School,KING (BRIGHTON) ELEMENTARY SCHOOL (SPS-DISTRICT),2,SOUTHEAST,2004,1.0,2.0,67371,0,67371.0,"('K-12 School',)",K-12 School,67371.0,Inutilisable,0.0,Inutilisable,0.0,[],92.0,30.8,34.2,77.7,81.3,2075894.0,2304835.0,0.0,428468.0,1461994.0,6139.0,613900.0,0.0,True,,Compliant,Normal,SEATTLE,WA,98118.0,47.54197311,-122.27677917,6725 45TH AVE S,42.8,0.54,67371,11,22457.0,0.0,False,False,0,0.0,0.7042719907663879,0.29572800923361214,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.10076625880394344,14.650519648336564,3.756538102587751
673,2015,NonResidential,Retail Store,HOME DEPOT,1,DELRIDGE,2005,1.0,1.0,94713,0,94713.0,"('Retail Store',)",Retail Store,109758.0,Inutilisable,0.0,Inutilisable,0.0,[],79.0,47.7,47.3,129.9,128.7,5230726.0,5186267.0,0.0,1229910.0,4196627.0,10341.0,1034099.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98106.0,47.53641069,-122.3638102,7345 DELRIDGE WAY SW,84.18,0.7,94713,10,47356.5,0.0,False,False,0,0.0,0.8023029690333617,0.1976970309666383,0.0,Electricity,(s),E,(n),(o),(s)E(n)(o),0.12949215587423873,15.46152472852213,4.432957363342425
720,2015,NonResidential,Non-Refrigerated Warehouse,6TH & HOLGATE BUILDING,2,GREATER DUWAMISH,1951,1.0,4.0,149881,0,149881.0,"('Non-Refrigerated Warehouse', ' Office')",Non-Refrigerated Warehouse,119593.0,Office,30288.0,Inutilisable,0.0,[],89.0,18.4,22.8,38.8,43.4,2757646.0,3414552.0,0.0,409942.0,1398780.0,13589.0,1358866.0,0.0,False,,Compliant,Normal,SEATTLE,WA,98134.0,47.58505976,-122.325311,1926 6TH AVE S,81.92,0.51,149881,64,29976.2,0.0,False,False,0,0.0,0.5072369695022494,0.4927630304977506,0.0,Electricity,(s),e,n,(o),(s)en(o),0.06754762129047799,15.043556856437036,4.4057431612911975
